id_pregunta,categoria,modelo,pregunta,score_gemini,clasificacion_gemini,conceptos_encontrados,conceptos_faltantes,alucinaciones,justificacion_gemini,tiempo_segundos,num_docs_recuperados
1,libro_reclamaciones,mistral:7b-instruct,¿Cuál es la diferencia entre queja y reclamo en el Libro de Reclamaciones?,2,correcto,queja sobre atención o trato al consumidor | reclamo sobre el producto o servicio principal | diferencia clara entre ambos,,,"La respuesta del chatbot explica correctamente la diferencia entre queja y reclamo, alineándose con la definición de la referencia y proporcionando ejemplos pertinentes para ambos conceptos.",3.63,3
2,telecomunicaciones,mistral:7b-instruct,¿A quién reclamo si tengo un problema con mi servicio de telefonía móvil?,1,parcial,reclamo inicial a la empresa operadora | acudir a INDECOPI como segunda instancia,,"El plazo máximo para que el operador resuelva el reclamo es de 10 días hábiles (el plazo correcto suele ser 15 días hábiles para el reclamo inicial). | La atribución de este plazo al 'Artículo 54.- Disposiciones aplicables a la presentación de reclamos, apelaciones y quejas del servicio público móvil' para la resolución del reclamo inicial es imprecisa y no corresponde al plazo real.","El chatbot identifica correctamente las instancias de reclamo (primero el operador y luego INDECOPI). Sin embargo, introduce una imprecisión significativa al mencionar un plazo de 10 días hábiles para la resolución del reclamo inicial y su base legal, lo cual es incorrecto y afecta la expectativa del ciudadano.",2.9,3
3,indecopi,mistral:7b-instruct,¿Qué diferencia una denuncia de una reclamación?,1,parcial,Reclamo: comunicación directa con la empresa para solucionar un problema | Denuncia: presentada ante INDECOPI | Denuncia: busca sancionar económicamente al proveedor y medidas correctivas | Denuncia: se basa en una infracción al Código de Protección y Defensa del Consumidor | Secuencia: la denuncia es un paso posterior al reclamo si este no se resuelve,Reclamo: se realiza a través del Libro de Reclamaciones,,"La respuesta del chatbot explica correctamente las diferencias en cuanto a la entidad a la que se dirigen, el propósito y la secuencia. Sin embargo, omite la mención específica del Libro de Reclamaciones como el medio para formalizar un reclamo, que es un detalle importante en el derecho del consumidor peruano.",1.53,3
4,inmobiliario,mistral:7b-instruct,¿Qué debe figurar en el contrato de compraventa de un departamento que me brinda la inmobiliaria?,2,correcto,área del inmueble | precio exacto | forma y plazos de pago | penalidades | forma de resolver controversias,coincidencia con ofertas y ofrecimientos previos/publicidad,,"La respuesta del chatbot cubre todos los conceptos clave de la referencia y los amplía con información detallada y correcta, relevante para la protección del consumidor peruano, sin errores ni alucinaciones. Aunque no menciona explícitamente la ""coincidencia con ofertas y ofrecimientos previos"", la exhaustividad y precisión del resto de la respuesta la hacen excelente.",4.79,3
5,servicios_financieros,mistral:7b-instruct,"¿Tengo derecho a pagar por adelantado mis préstamos con el banco, para evitar intereses?",1,parcial,derecho a efectuar pagos anticipados | reducción de intereses y comisiones | opción de reducir monto o plazo | canales de pago sin trámites adicionales,el banco no puede negarse a recibir el pago | el derecho se ejerce libremente sin limitaciones,la cantidad para el pago anticipado debe ser mayor a dos cuotas,"La respuesta del chatbot es parcial porque, aunque afirma correctamente el derecho a pagar por adelantado y añade detalles relevantes, incluye una condición inventada y restrictiva sobre el monto mínimo de pago que contradice la ley, y omite que el banco no puede negarse a recibir el pago.",3.06,3
6,indecopi,mistral:7b-instruct,¿Puedo pedir indemnización o reparación por los daños sufridos mediante el Libro de Reclamaciones o INDECOPI?,2,correcto,no se puede pedir indemnización por libro de reclamaciones o INDECOPI | la indemnización debe tramitarse ante el Poder Judicial (vía judicial),,,"La respuesta del chatbot llega a la misma conclusión práctica que la referencia, explica por qué INDECOPI no puede otorgar indemnizaciones y ofrece la solución correcta (Poder Judicial) de manera precisa, añadiendo detalles útiles y correctos.",1.69,3
7,productos_defectuosos,mistral:7b-instruct,¿Pueden negarse a cambiarme una prenda de ropa porque la que compré tiene roturas o mala calidad?,1,parcial,Derecho del consumidor a reclamar por productos con roturas o mala calidad | El derecho aplica si el producto no cumple con lo ofrecido o descrito | Obligación del proveedor de informar sobre productos usados o remanufacturados | INDECOPI como instancia para reclamos si la tienda niega el cambio sin razón válida,La negación explícita a la pregunta de si la tienda puede negarse (la referencia responde directamente 'No'),Plazo de diez (10) días hábiles para presentar la reclamación después de advertir la deficiencia de la prenda | Plazo de quince (15) días hábiles para que la tienda satisfaga la reclamación,"La respuesta del chatbot es 'parcial' porque, aunque afirma correctamente el derecho del consumidor a reclamar un cambio, introduce plazos incorrectos (10 días para reclamar y 15 días para la tienda) que son alucinaciones graves y pueden confundir al consumidor sobre los procedimientos legales. La respuesta de la referencia es una negación directa a la posibilidad de la tienda de rehusarse, mientras que el chatbot se centra en el derecho del consumidor a reclamar.",2.69,3
8,servicios_financieros,mistral:7b-instruct,¿El banco puede cobrar comisiones o conceptos a mi tarjeta de crédito sin avisarme?,2,correcto,No se puede cobrar sin aviso previo | Obligación de informar sobre los costos (Tarifario) | Aviso previo para nuevas comisiones o cargos,,,"La respuesta del chatbot llega a la misma conclusión que la referencia y cubre los conceptos clave sobre la prohibición de cobrar comisiones sin previo aviso, añadiendo información correcta y relevante sobre el Tarifario.",1.02,3
9,libro_reclamaciones,mistral:7b-instruct,¿Una empresa o negocio digital tiene que tener un libro de reclamaciones?,1,parcial,Obligación de tener un libro de reclamaciones para negocios digitales,La especificación de que el libro de reclamaciones para un negocio digital es virtual | La mención de que el libro de reclamaciones virtual tiene las mismas características que el físico,,"El chatbot acierta en la conclusión principal de que los negocios digitales deben tener un libro de reclamaciones. Sin embargo, es menos preciso que la referencia al indicar que puede ser físico o virtual para un negocio digital, cuando la referencia específica que *es* virtual. Añade información útil y correcta sobre el apoyo técnico necesario.",0.84,3
10,precios,mistral:7b-instruct,¿Pueden subir o cobrarme más del precio que muestran en la tienda o página web?,2,correcto,"Prohibición de cobrar más del precio exhibido | Obligación de mostrar el precio total final | Inclusión de tributos, comisiones y cargos en el precio | Excepciones para servicios distintos o adicionales | Información sobre diferencia de precio por medios de pago | Derecho a usar cualquier medio de pago en ofertas/promociones | Contacto con INDECOPI para asistencia",,,"La respuesta del chatbot es completamente correcta, coincide con la conclusión de la referencia y amplía la información con detalles legales precisos y relevantes, sin presentar errores ni alucinaciones.",2.94,3
