id_pregunta,categoria,modelo,pregunta,score_gemini,clasificacion_gemini,conceptos_encontrados,conceptos_faltantes,alucinaciones,justificacion_gemini,tiempo_segundos,num_docs_recuperados
1,libro_reclamaciones,mistral:7b-instruct,¿Cuál es la diferencia entre queja y reclamo en el Libro de Reclamaciones?,2,correcto,diferencia entre queja y reclamo | queja relacionada con la atención o el trato | reclamo relacionado con fallas en el producto o servicio principal | ejemplos claros para queja (servicios higiénicos sucios) | ejemplos claros para reclamo (televisor que no enciende),,,"La respuesta del chatbot explica correctamente la diferencia entre queja y reclamo, alineándose con la referencia y proporcionando ejemplos claros y pertinentes para cada caso. No hay errores ni omisiones importantes.",3.49,3
2,telecomunicaciones,mistral:7b-instruct,¿A quién reclamo si tengo un problema con mi servicio de telefonía móvil?,1,parcial,Reclamar primero a la empresa prestadora del servicio (operador),Interponer una denuncia ante INDECOPI si no se satisfacen los derechos tras la respuesta del operador,"La afirmación de que el Artículo 54 del Código de Protección y Defensa del Consumidor especifica un plazo máximo de 10 días hábiles para la respuesta del operador es incorrecta; el plazo general para reclamos de telecomunicaciones suele ser de 15 días hábiles según OSIPTEL, y el Art. 54 remite a la normativa sectorial sin establecer dicho plazo directamente.","La respuesta del chatbot acierta en indicar que el primer reclamo debe hacerse al operador, pero omite información crucial sobre el recurso a INDECOPI si el consumidor no está satisfecho. Además, contiene una imprecisión significativa sobre el plazo de respuesta del operador y su atribución directa al Artículo 54 del Código de Protección y Defensa del Consumidor.",3.52,3
3,indecopi,mistral:7b-instruct,¿Qué diferencia una denuncia de una reclamación?,2,correcto,"Reclamación: disconformidad/falla, directa a la empresa/proveedor, vía Libro de Reclamaciones | Denuncia: paso formal ante autoridad competente (INDECOPI implícito), por vulneración de derechos, lleva a sanción/multa o medidas correctivas | Orden: la denuncia procede si el reclamo no fue atendido o solucionado",,,"El chatbot define de manera precisa tanto la reclamación como la denuncia, sus propósitos, los actores involucrados y el orden lógico entre ambos, sin cometer errores o alucinaciones.",2.24,3
4,inmobiliario,mistral:7b-instruct,¿Qué debe figurar en el contrato de compraventa de un departamento que me brinda la inmobiliaria?,2,correcto,"Identificación del departamento (ubicación, áreas) | Precio de venta y forma de pago | Plazo y condiciones de entrega | Penalidades por incumplimiento | Mecanismos para la solución de controversias | Identificación de las partes contratantes y domicilios",Coincidencia de datos del contrato con ofertas y publicidad previa,,"La respuesta del chatbot es muy completa y correcta, abarcando todos los puntos clave de la referencia y añadiendo información valiosa sobre financiamiento y recursos legales. Aunque no menciona explícitamente la coincidencia con ofertas previas, la calidad general y la precisión de la información la hacen excelente.",4.52,3
5,servicios_financieros,mistral:7b-instruct,"¿Tengo derecho a pagar por adelantado mis préstamos con el banco, para evitar intereses?",1,parcial,Derecho a pagar por adelantado (parcial o total) | Reducción de intereses por pago anticipado | Derecho a conocer cargos (ej. impuestos) asociados al pago | Advertencia sobre Bono de Buen Pagador en créditos Mi Vivienda,El banco no puede negarse a recibir el pago por adelantado | El pago anticipado se realiza libremente y sin penalidades,,"El chatbot afirma correctamente el derecho a pagar por adelantado y su beneficio de reducir intereses. Sin embargo, omite la información clave de que el banco no puede negarse a recibir dicho pago, una parte fundamental del derecho del consumidor, y no menciona explícitamente que es 'libremente' o 'sin penalidades'.",2.06,3
6,indecopi,mistral:7b-instruct,¿Puedo pedir indemnización o reparación por los daños sufridos mediante el Libro de Reclamaciones o INDECOPI?,0,incorrecto,"Vía judicial para indemnización por daños y perjuicios (Poder Judicial) | INDECOPI puede ordenar medidas correctivas (devolver dinero, reemplazar un producto)","Que la reclamación o denuncia por derechos del consumidor no permite exigir indemnización ni reparación por los daños sufridos | La reparación por los daños sufridos debe tramitarse ante el Poder Judicial, al igual que la indemnización",,"El chatbot contradice directamente la respuesta de referencia al afirmar 'Sí puedes pedir reparación por los daños sufridos mediante el Libro de Reclamaciones', cuando la respuesta correcta es un 'No' categórico para exigir tanto indemnización como reparación por daños sufridos a través del Libro de Reclamaciones o INDECOPI.",1.81,3
7,productos_defectuosos,mistral:7b-instruct,¿Pueden negarse a cambiarme una prenda de ropa porque la que compré tiene roturas o mala calidad?,1,parcial,Derecho a reemplazo de prenda por defectos de calidad | Posibilidad de devolución de dinero | Defectos como roturas o mala calidad | Vía de reclamo ante INDECOPI | Mención de la Ley N° 29571 (Código de Protección y Defensa del Consumidor),,Plazo de 'diez (10) días hábiles siguientes a la fecha en que se advierta la deficiencia del artículo' para solicitar el cambio o devolución (este plazo no existe en la ley peruana para el reporte general de defectos de producto),"La respuesta del chatbot llega a la conclusión correcta de que el consumidor tiene derecho a solicitar un reemplazo o devolución por prendas defectuosas y menciona correctamente a INDECOPI. Sin embargo, introduce un plazo incorrecto de 10 días hábiles para reportar la deficiencia, lo cual es una imprecisión importante en la legislación de derechos del consumidor peruano.",1.62,3
8,servicios_financieros,mistral:7b-instruct,¿El banco puede cobrar comisiones o conceptos a mi tarjeta de crédito sin avisarme?,2,correcto,prohibición de cobro sin aviso previo | obligación de informar al consumidor | existencia de tarjetas sin comisión de membresía | deber del banco de informar sobre opciones sin membresía,,,"El chatbot llega a la misma conclusión práctica que la referencia, indicando correctamente que el banco no puede cobrar sin avisar. Además, proporciona información adicional relevante y precisa sobre las tarjetas sin comisión de membresía, reforzando la respuesta sin introducir errores.",1.64,3
9,libro_reclamaciones,mistral:7b-instruct,¿Una empresa o negocio digital tiene que tener un libro de reclamaciones?,2,correcto,Obligación de libro de reclamaciones para negocios digitales | Aplica a todos los negocios (físicos o virtuales) | El libro de reclamaciones puede ser virtual,Tiene las mismas características que un libro de reclamaciones físico,,"La respuesta del chatbot llega a la misma conclusión correcta que la referencia y cubre los conceptos clave. Aunque no menciona explícitamente que el libro virtual tiene 'las mismas características' que el físico, la información adicional que provee (base legal, disponibilidad, apoyo técnico) es correcta y enriquece la respuesta sin errores.",2.07,3
10,precios,mistral:7b-instruct,¿Pueden subir o cobrarme más del precio que muestran en la tienda o página web?,2,correcto,Prohibición de cobrar más del precio exhibido | Obligación de mostrar el precio final y destacar recargos | Excepciones para servicios adicionales informados previamente,,,"La respuesta del chatbot es correcta y llega a la misma conclusión práctica que la referencia ('No'). Además, proporciona una explicación detallada y precisa, citando artículos relevantes y la autoridad competente, sin errores ni alucinaciones.",2.97,3
