id_pregunta,categoria,modelo,pregunta,score_gemini,clasificacion_gemini,conceptos_encontrados,conceptos_faltantes,alucinaciones,justificacion_gemini,tiempo_segundos,num_docs_recuperados
1,libro_reclamaciones,mistral:7b-instruct,¿Cuál es la diferencia entre queja y reclamo en el Libro de Reclamaciones?,0,incorrecto,reclamo se refiere a problemas o deficiencias en el producto o servicio,queja se refiere al servicio al cliente y el trato al consumidor | diferenciación clara entre producto/servicio vs. atención/trato,,"El chatbot define erróneamente la 'queja' como un comentario sobre un producto o servicio, lo que contradice la distinción legal en Perú. La queja se refiere al trato o servicio al cliente, mientras que el reclamo es por problemas en el producto o servicio en sí.",3.39,3
2,telecomunicaciones,mistral:7b-instruct,¿A quién reclamo si tengo un problema con mi servicio de telefonía móvil?,1,parcial,"Reclamar a la empresa prestadora del servicio (operadora) | Canales para presentar el reclamo (aplicativo web y móvil, oficinas)",Interponer una denuncia ante INDECOPI si la respuesta de la empresa no satisface los derechos del consumidor,,"La respuesta del chatbot acierta en indicar que el primer reclamo debe hacerse a la empresa operadora. Sin embargo, omite por completo mencionar a INDECOPI como la siguiente instancia si el consumidor no está satisfecho, y en su lugar, se enfoca en problemas muy específicos de telecomunicaciones que no responden a la generalidad de la pregunta.",4.08,3
3,indecopi,mistral:7b-instruct,¿Qué diferencia una denuncia de una reclamación?,1,parcial,Denuncia es ante autoridades (INDECOPI) para investigar y sancionar una infracción a la ley | Reclamación es directamente ante el proveedor para resolver un problema o controversia | Libro de Reclamaciones es una herramienta para registrar reclamos,La secuencia procesal: el reclamo debe realizarse antes de acudir a la denuncia,,"La respuesta del chatbot describe correctamente lo que es una denuncia y una reclamación, incluyendo los actores involucrados (autoridades/proveedor). Sin embargo, omite la diferencia procesal crucial de que el reclamo debe presentarse antes de la denuncia, lo cual es una información práctica importante para el ciudadano.",1.64,3
4,inmobiliario,mistral:7b-instruct,¿Qué debe figurar en el contrato de compraventa de un departamento que me brinda la inmobiliaria?,2,correcto,Área del inmueble | Precio exacto | Forma y plazos de pago | Penalidades | Forma de resolver controversias,La obligación de que los datos del contrato deben coincidir con las ofertas y ofrecimientos dados en la publicidad o las negociaciones previas,,"La respuesta del chatbot es muy completa, correcta y detallada, abarcando todos los conceptos clave de la referencia y proporcionando información adicional valiosa y pertinente para el ciudadano peruano, sin errores ni alucinaciones.",4.09,3
5,servicios_financieros,mistral:7b-instruct,"¿Tengo derecho a pagar por adelantado mis préstamos con el banco, para evitar intereses?",2,correcto,Derecho a pago anticipado de préstamos | Reducción de intereses por pago anticipado | Opciones del consumidor sobre cómo aplicar el pago (reducir plazo o cuotas) | Obligación del banco de entregar un nuevo cronograma de pagos en 7 días,El banco no puede negarse a recibir el pago,,"El chatbot acierta en la conclusión principal ('Sí, tienes derecho') y ofrece detalles precisos y relevantes sobre cómo ejercer este derecho en Perú, incluyendo la reducción de intereses, las opciones de aplicación del pago (plazo o cuotas) y la obligación del banco de entregar un nuevo cronograma en 7 días, lo cual está alineado con la legislación vigente. Aunque no menciona explícitamente que el banco no puede negarse a recibir el pago, la descripción detallada del derecho y las obligaciones de la entidad financiera lo implican fuertemente, y la información adicional es correcta y muy útil para el ciudadano.",2.16,3
6,indecopi,mistral:7b-instruct,¿Puedo pedir indemnización o reparación por los daños sufridos mediante el Libro de Reclamaciones o INDECOPI?,2,correcto,No se obtiene indemnización vía Libro de Reclamaciones o INDECOPI | Indemnización por daños y perjuicios | Debe demandarse ante el Poder Judicial / tribunal civil judicial,,,"La respuesta del chatbot llega a la misma conclusión práctica que la referencia y cubre los conceptos clave sobre la imposibilidad de obtener indemnización por la vía de reclamos y la necesidad de recurrir al ámbito judicial, sin errores ni información inventada. Además, complementa con detalles correctos sobre el uso del Libro de Reclamaciones y la Ley aplicable.",2.08,3
7,productos_defectuosos,mistral:7b-instruct,¿Pueden negarse a cambiarme una prenda de ropa porque la que compré tiene roturas o mala calidad?,0,incorrecto,producto con defectos (roturas o mala calidad) | derecho a reemplazo del producto,,"El chatbot responde 'Sí' a la pregunta '¿Pueden negarse...?', cuando la respuesta correcta es 'No'. | Mención incorrecta del 'artículo 98 del Código de Protección y Defensa del Consumidor' para el derecho a reemplazo. | Establecimiento de plazos de reclamación de 'diez días hábiles' y 'quince días hábiles' que son incorrectos o mal contextualizados para una reclamación general de defectos. | La fuente proporcionada dirige a un Proyecto de Ley sobre educación financiera, no al Código de Protección y Defensa del Consumidor.","El chatbot inicia la respuesta con un 'Sí' a la pregunta '¿Pueden negarse...?', lo cual contradice directamente la conclusión principal de la referencia ('No'). Además, presenta múltiples alucinaciones legales graves como la cita de un artículo incorrecto, plazos de reclamación erróneos y una fuente irrelevante.",2.86,3
8,servicios_financieros,mistral:7b-instruct,¿El banco puede cobrar comisiones o conceptos a mi tarjeta de crédito sin avisarme?,2,correcto,prohibición de cobrar sin aviso previo | necesidad de informar sobre costos antes de cualquier nueva carga,,,"La respuesta del chatbot llega a la misma conclusión práctica que la referencia y cubre los conceptos clave sobre la prohibición de cobros sin aviso previo. Además, añade información adicional correcta y relevante sobre la especificación de costos en el tarifario, sin errores ni alucinaciones.",1.33,3
9,libro_reclamaciones,mistral:7b-instruct,¿Una empresa o negocio digital tiene que tener un libro de reclamaciones?,1,parcial,negocios digitales deben tener libro de reclamaciones | el libro de reclamaciones puede ser virtual | la empresa debe ponerlo a disposición del consumidor cuando éste lo solicite | la empresa debe brindar apoyo técnico para registrar quejas o reclamos,"para un negocio digital, el libro de reclamaciones es virtual (no solo una opción entre físico y virtual)",,"La respuesta del chatbot es mayormente correcta y brinda información adicional útil, pero es menos precisa que la referencia al indicar que el libro de reclamaciones para un negocio digital 'puede estar en forma física o virtual', cuando la referencia especifica que 'es virtual' para estos casos.",0.98,3
10,precios,mistral:7b-instruct,¿Pueden subir o cobrarme más del precio que muestran en la tienda o página web?,2,correcto,"Prohibición de subir o cobrar más del precio mostrado | El precio exhibido debe incluir tributos, comisiones y cargos aplicables (precio final) | Información clara sobre diferencias de precio según el medio de pago | El consumidor no está obligado al pago de sumas adicionales por incumplimiento",,,"La respuesta del chatbot llega a la misma conclusión práctica que la referencia y expande correctamente en los conceptos clave citando artículos relevantes del Código de Protección y Defensa del Consumidor peruano, sin errores ni alucinaciones.",2.04,3
