embedding,embedding_modelo,id_pregunta,categoria,modelo,pregunta,respuesta,respuesta_referencia,fuentes,tiempo_segundos,num_docs_recuperados,prefiltrado
e5-large,intfloat/multilingual-e5-large,1,libro_reclamaciones,mistral:7b-instruct,¿Cuál es la diferencia entre queja y reclamo en el Libro de Reclamaciones?," La diferencia entre queja y reclamo en el Libro de Reclamaciones es principalmente relativa al grado de detalle y la naturaleza del problema. Una queja es un simple comentario o reproche sobre un producto o servicio, mientras que un reclamo es una petición específica por una acción correctiva o indemnización debida a daños sufridos como resultado de la falta de calidad del producto o servicio. Ambos pueden estar registrados en el Libro de Reclamaciones para ser resueltos por el proveedor.","La reclamación trata sobre problemas o deficiencias en el producto o servicio en sí, como un aparato que no funcione o una comida contaminada, mientras que una queja trata sobre el servicio al cliente y el trato al consumidor por parte del establecimiento o proveedor, como un mesero que exija propina.",Lineamientos sobre Protección al Consumidor - Actualizado 2022 | Lineamientos sobre Protección al Consumidor - Actualizado 2022 | Código de Protección y Defensa del Consumidor,3.39,3,True
e5-large,intfloat/multilingual-e5-large,2,telecomunicaciones,mistral:7b-instruct,¿A quién reclamo si tengo un problema con mi servicio de telefonía móvil?," Para presentar tu reclamo por un problema con tu servicio de telefonía móvil, sigue estos pasos:

1. **Reclamos**:
    - Busca el canal de atención que prefieras entre los siguientes: aplicativo web y móvil, oficinas de atención de la empresa operadora.
    - En tu reclamo, menciona que tienes líneas del servicio público móvil registradas a tu nombre sin tu consentimiento.
    - La empresa operadora tiene un plazo máximo de 20 días hábiles y 5 días hábiles de notificación para emitir una respuesta al reclamo en primera instancia.

2. **Qué pasa después**:
    - Si es línea móvil prepago, también puedes presentar un cuestionamiento de titularidad en la oficina o el centro de atención de la empresa operadora. La empresa operadora deberá retirar la información de tus datos personales del registro de abonados correspondiente, en un plazo máximo de 2 días hábiles.
    - Si se realizó portabilidad numérica sin tu consentimiento, debes presentar un reclamo ante la empresa operadora a la que te portaron. El plazo máximo para la resolución del reclamo es de 3 días hábiles y 5 días hábiles para notificar.
    - La empresa operadora está obligada a suspender el servicio, salvo solicitud expresa del abonado, y a realizar el bloqueo del equipo celular en simultáneo.

Recuerda consultar el Portal de Información de Usuarios para obtener la dirección y horario de atención de las empresas operadoras en tu país.

Fuente: <https://www.indecopi.gob.pe/es-PE/Paginas/ReclamosenTelecomunicaciones.aspx>","El primer reclamo debe hacerse a la empresa prestadora del servicio, sea Claro, Movistar, Entel, etc. Ellos te deben brindar medios o canales para presentar tu reclamo. Si, luego de su respuesta, no sientes que han satisfecho tus derechos, puedes interponer una denuncia ante INDECOPI.",Guía de las condiciones de uso de los servicios públicos de telecomunicaciones | Guía de reclamos y quejas en el servicio público de telecomunicaciones | Guía de las condiciones de uso de los servicios públicos de telecomunicaciones,4.08,3,True
e5-large,intfloat/multilingual-e5-large,3,indecopi,mistral:7b-instruct,¿Qué diferencia una denuncia de una reclamación?," Una denuncia es un acto que se presenta ante las autoridades para que investiguen una infracción a la ley. En el caso del Libro de Reclamaciones, si una empresa no cumple con sus obligaciones como entregarlo al consumidor o no lo hace en forma correcta, puedes presentar una denuncia ante INDECOPI para que investigue y aplique sanciones. Una reclamación, por otro lado, es un acto que se presenta directamente al proveedor para que trate de resolver el problema o controversia que tienes con él. El Libro de Reclamaciones es una herramienta que te permite registrar tus reclamos y acceder a un mecanismo de solución de controversias ante el propio proveedor.",Un reclamo o queja es una muestra de disconformidad que brinda el consumidor contra la empresa o proveedor a través del Libro de Reclamaciones. Una denuncia es una solicitud dirigida a INDECOPI para que sancionen con una multa al proveedor o empresa por vulnerar tus derechos como consumidor. Primero debe realizarse el reclamo antes de acudir a la denuncia.,Lineamientos sobre Protección al Consumidor - Actualizado 2022 | Decreto Supremo N° 007-2020-PCM | Lineamientos sobre Protección al Consumidor - Actualizado 2022,1.64,3,True
e5-large,intfloat/multilingual-e5-large,4,inmobiliario,mistral:7b-instruct,¿Qué debe figurar en el contrato de compraventa de un departamento que me brinda la inmobiliaria?," El contrato de compra-venta de un departamento que te brinde una inmobiliaria debe contener como mínimo los siguientes datos:

* Identificación de las partes contratantes y sus domicilios legales.
* Identificación del departamento materia de venta.
* Identificación del área exclusiva y común, medidas perimétricas, acabados del inmueble y las características relevantes.
* Precio de venta del departamento ofertado.
* Forma de pago y plazo en que se realizará.
* Plazo, fecha y condiciones expresas sobre la entrega del departamento.
* Penalidades por incumplimiento de obligaciones, en caso se hubiesen pactado, especificando los montos y supuestos de aplicación.
* Mecanismos para la solución de controversias.
* La obligación del proveedor de firmar todos los documentos necesarios para perfeccionar la transferencia del departamento.

También, si el precio de venta del departamento o parte de este es financiado por la propia inmobiliaria, debe incluirse una hoja resumen que contenga información detallada sobre los términos del crédito. Esta hoja debe ser suscrita por el proveedor y el consumidor en señal de conformidad.

Además, el contrato deberá incluir la vigencia de la oferta, los canales para la atención de consultas, quejas y reclamos que puedan ser dirigidos al proveedor, y las condiciones de separación del departamento en caso de incumplimiento de obligaciones.

Para más información, te invito a visitar el sitio web de INDECOPI (<https://www.indecopi.gob.pe/>) o contactar directamente con la inmobiliaria.","Deben brindarse todos los datos y condiciones de la venta del departamento. Algunas cosas indispensables son el área del inmueble, el precio exacto, la forma y plazos de pago, las penalidades que hubieran y la forma de resolver controversias. Estos datos deben coincidir con las ofertas y ofrecimientos dados en la publicidad o las negociaciones previas.",Guía sobre productos y servicios inmobiliarios | Guía sobre productos y servicios inmobiliarios | Guía sobre productos y servicios inmobiliarios,4.09,3,True
e5-large,intfloat/multilingual-e5-large,5,servicios_financieros,mistral:7b-instruct,"¿Tengo derecho a pagar por adelantado mis préstamos con el banco, para evitar intereses?"," Sí, tienes derecho de efectuar un pago anticipado de tus préstamos con el banco. De esta manera podrás reducir los intereses que debas pagar. Para hacerlo debes hacer un pago mayor a la cuota mensual exigible, y si el pago es mayor a dos cuotas, te pedirán que indiques cómo deseas que se apliquen tus pagos: queres mantener el plazo original o reducirlo con las cuotas restantes. La elección debe efectuarse a través de los mecanismos establecidos en el contrato, y la empresa deberá entregarte un nuevo cronograma de pagos dentro de 7 días del pago realizado.

Fuente: https://leyes.pe/ley/29571-codigo-de-proteccion-y-defensa-del-consumidor","Sí. El consumidor tiene derecho a pagar por adelantado los créditos o deudas que haya contraído con la institución financiera, libremente. El banco no puede negarse a recibir el pago.",Código de Protección y Defensa del Consumidor | Código de Protección y Defensa del Consumidor | Resolución SBS N° 3274-2017,2.16,3,True
e5-large,intfloat/multilingual-e5-large,6,indecopi,mistral:7b-instruct,¿Puedo pedir indemnización o reparación por los daños sufridos mediante el Libro de Reclamaciones o INDECOPI?," No, los Libros de Reclamaciones ni INDECOPI no pueden otorgar indemnizaciones directamente por los daños sufridos. El Libro de Reclamaciones sirve para que los consumidores formulen sus reclamos o quejas sobre los productos o servicios ofertados, y el establecimiento comercial debe responder en un plazo estipulado por la ley. Si no se resuelve el problema a través del Libro de Reclamaciones, puedes recurrir a otros mecanismos de solución de controversias o interponer una denuncia ante INDECOPI sin limitación alguna. En un proceso posterior y separado, puedes demandar una indemnización por daños y perjuicios en un tribunal civil judicial (fuente: Ley 29571 del Código de Protección y Defensa al Consumidor).","No. La reclamación y la denuncia por derechos de consumidor no permiten exigirle a la empresa o proveedor una indemnización por daños y perjuicios. La indemnización por los daños sufridos debe interponerse como un juicio ordinario, ante el Poder Judicial.",Código de Protección y Defensa del Consumidor | Decreto Supremo N° 011-2011-PCM | Decreto Supremo N° 011-2011-PCM,2.08,3,True
e5-large,intfloat/multilingual-e5-large,7,productos_defectuosos,mistral:7b-instruct,¿Pueden negarse a cambiarme una prenda de ropa porque la que compré tiene roturas o mala calidad?," Sí, si tienes razones para creer que la prenda de ropa que compraste presenta defectos en su cantidad (por ejemplo, roturas o mala calidad), según lo establecido en el artículo 98 del Código de Protección y Defensa del Consumidor, tienes derecho a que el proveedor te reemplace la prenda o te devuelva el dinero pagado en exceso. Debe presentar su reclamación al proveedor dentro de los diez días hábiles siguientes a que se advierta la deficiencia, y si el proveedor no satisface su reclamación dentro de un plazo de quince días hábiles, incurre en mora.

En caso de productos usados, reconstruidos o remanufacturados, también es necesario que se indique notoriamente esta circunstancia al consumidor, según lo establecido en el artículo 11 del mismo código. Si no se cumple esta obligación, es considerado contrario a la buena fe en el comportamiento exigible al proveedor.

Fuente: <https://www.congreso.gob.pe/Sicr/Periodo/2016-2021/Proyectos_de_Ley/PL07518>","No. Si el producto no cumple con la calidad, materiales o cualificaciones que se ofrecieron, entonces están obligados a restituirte un nuevo producto.",Código de Protección y Defensa del Consumidor | Lineamientos sobre Protección al Consumidor - Actualizado 2022 | Código de Protección y Defensa del Consumidor,2.86,3,True
e5-large,intfloat/multilingual-e5-large,8,servicios_financieros,mistral:7b-instruct,¿El banco puede cobrar comisiones o conceptos a mi tarjeta de crédito sin avisarme?," El banco no puede cobrarte comisiones o conceptos a tu tarjeta de crédito sin avisarte previamente. Debe informarte sobre los costos que generen la tarjeta y su uso antes de cualquier nueva carga. Si se cobran por la emisión de una nueva tarjeta, por reposición, sustracción, pérdida o deterioro de la tarjeta, o por tarjetas adicionales, estos costos deben estar especificados en el Tarifario que recibiste al contratar la tarjeta.",No. Está prohibido aumentar o cambiar las comisiones y otros gastos que pague el consumidor sin que primero se le informe adecuadamente.,Cartilla informativa sobre Tarjetas de Crédito | Cartilla informativa sobre Tarjetas de Crédito | Resolución SBS N° 3274-2017,1.33,3,True
e5-large,intfloat/multilingual-e5-large,9,libro_reclamaciones,mistral:7b-instruct,¿Una empresa o negocio digital tiene que tener un libro de reclamaciones?," Sí, una empresa o negocio digital en Perú tiene que tener un libro de reclamaciones. Este puede estar en forma física o virtual. La empresa debe ponerlo a disposición del consumidor cuando éste lo solicite y brindar apoyo técnico necesario para que el consumidor pueda registrar sus quejas o reclamos de manera adecuada.","Sí. Todos los negocios, sean con tienda física o virtual, deben contar con un libro de reclamaciones. En caso de un negocio digital, el libro de reclamaciones es virtual, y tiene las mismas características que un libro de reclamaciones físico.",Código de Protección y Defensa del Consumidor | Lineamientos sobre Protección al Consumidor - Actualizado 2022 | Decreto Supremo N° 011-2011-PCM,0.98,3,True
e5-large,intfloat/multilingual-e5-large,10,precios,mistral:7b-instruct,¿Pueden subir o cobrarme más del precio que muestran en la tienda o página web?," No, los proveedores no pueden subir o cobrarte más del precio mostrado en su local o página web. De acuerdo con el artículo 4 del Código de Protección y Defensa del Consumidor, el precio total del producto o servicio que se exhibe en listas de precios, rótulos, letreros, etiquetas, envases u otros debe incluir tributos, comisiones y cargos aplicables. Además, según lo establecido en el artículo 7, si el precio del producto o servicio se diferencia en función del medio de pago, dicha información debe ser puesta en conocimiento del consumidor, de manera destacada, en forma visible y accesible en el local comercial. En caso de incumplimiento por parte del proveedor, no puedes ser obligado al pago de sumas adicionales.","No. Cualquier aumento o sobreprecio al precio que se exhibe en la página web o en la tienda física está prohibido. La empresa debe mostrar exactamente el precio final a cobrar, o avisar claramente si existe algún recargo o pago adicional.",Código de Protección y Defensa del Consumidor | Código de Protección y Defensa del Consumidor | Código de Protección y Defensa del Consumidor,2.04,3,True
