id_pregunta,categoria,modelo,pregunta,score_gemini,clasificacion_gemini,conceptos_encontrados,conceptos_faltantes,alucinaciones,justificacion_gemini,tiempo_segundos,num_docs_recuperados
1,libro_reclamaciones,qwen2.5:14b,¿Cuál es la diferencia entre queja y reclamo en el Libro de Reclamaciones?,2,correcto,queja = malestar por el trato/servicio al cliente | reclamo = disconformidad con el producto o servicio,,,"El chatbot explica correctamente que una queja se refiere a problemas con el trato o servicio al cliente, mientras que un reclamo aborda deficiencias en el producto o servicio adquirido, coincidiendo con la referencia.",7.49,3
2,telecomunicaciones,qwen2.5:14b,¿A quién reclamo si tengo un problema con mi servicio de telefonía móvil?,2,correcto,"Reclamar primero a la empresa operadora | Si no hay respuesta o no es satisfactoria, elevar el reclamo a la autoridad reguladora (OSIPTEL) | Canales para presentar el reclamo | Posibilidad de apelar la decisión inicial de la empresa",,,"El chatbot acierta al indicar que el primer paso es contactar a la empresa operadora y luego a OSIPTEL, que es la entidad reguladora específica para telecomunicaciones en Perú, ofreciendo una orientación precisa y práctica al ciudadano. Aunque la referencia menciona INDECOPI, OSIPTEL es la vía más directa y especializada para problemas de telefonía móvil.",7.46,3
3,indecopi,qwen2.5:14b,¿Qué diferencia una denuncia de una reclamación?,2,correcto,Reclamo es por problemas con producto/servicio | Reclamo se realiza en el Libro de Reclamaciones | Reclamo es directo con la empresa | Denuncia es cuando la empresa no resuelve el reclamo o hay falta | Denuncia se presenta ante INDECOPI | Denuncia busca sanción para la empresa | Denuncia involucra a las autoridades,,,"La respuesta del chatbot explica claramente las diferencias entre reclamo y denuncia, identificando correctamente a las partes involucradas y los propósitos de cada acción, coincidiendo con la conclusión práctica de la referencia.",4.12,3
4,inmobiliario,qwen2.5:14b,¿Qué debe figurar en el contrato de compraventa de un departamento que me brinda la inmobiliaria?,2,correcto,área del inmueble | precio exacto | forma y plazos de pago | penalidades | forma de resolver controversias | datos y condiciones de la venta,coincidencia de los datos contractuales con ofertas y ofrecimientos previos,,"La respuesta del chatbot es muy completa, correcta y está directamente respaldada por el Artículo 78 del Código de Protección y Defensa del Consumidor, brindando una guía excelente y detallada al ciudadano. Cubre todos los puntos esenciales de la respuesta de referencia, y aunque no menciona explícitamente que los datos deben coincidir con ofertas previas, la conclusión práctica es correcta y la información adicional es muy valiosa.",8.38,3
5,servicios_financieros,qwen2.5:14b,"¿Tengo derecho a pagar por adelantado mis préstamos con el banco, para evitar intereses?",2,correcto,derecho a pagar por adelantado | sin penalizaciones | reducción de intereses | no pueden cobrar comisiones por pago anticipado | denunciar a INDECOPI,el banco no puede negarse a recibir el pago (explícitamente),,"La respuesta del chatbot afirma correctamente el derecho del consumidor a pagar por adelantado sin penalizaciones y para reducir intereses, coincidiendo con la referencia. Además, proporciona información adicional útil y precisa sobre cómo actuar y a quién recurrir (INDECOPI), lo cual es un valor añadido. La imprecisión en el orden de aplicación de los pagos (intereses primero y luego capital) es menor y no invalida el derecho ni la conclusión principal.",3.75,3
6,indecopi,qwen2.5:14b,¿Puedo pedir indemnización o reparación por los daños sufridos mediante el Libro de Reclamaciones o INDECOPI?,2,correcto,No se puede pedir indemnización vía Libro de Reclamaciones | No se puede pedir indemnización vía INDECOPI | La indemnización por daños debe interponerse ante el Poder Judicial/justicia ordinaria | INDECOPI y Libro de Reclamaciones son para medidas correctivas o resolución de problemas,,,"La respuesta del chatbot llega a la misma conclusión 'No' que la referencia, explicando correctamente que la indemnización por daños debe tramitarse en la justicia ordinaria y no a través del Libro de Reclamaciones o INDECOPI. Además, añade información pertinente y útil sin errores.",5.04,3
7,productos_defectuosos,qwen2.5:14b,¿Pueden negarse a cambiarme una prenda de ropa porque la que compré tiene roturas o mala calidad?,2,correcto,"No pueden negarse al cambio de prenda | Producto defectuoso (roturas, mala calidad) | Derecho a que te la cambien (restitución de nuevo producto) | Presentar una reclamación | Acudir a INDECOPI | Código de Protección y Defensa del Consumidor, Ley N° 29571",,,"La respuesta del chatbot llega a la misma conclusión práctica que la referencia ('No') y cubre los conceptos clave sobre el derecho del consumidor a la restitución. Además, proporciona información adicional correcta y relevante sobre el procedimiento y la instancia de reclamo (INDECOPI), sin errores ni alucinaciones.",3.47,3
8,servicios_financieros,qwen2.5:14b,¿El banco puede cobrar comisiones o conceptos a mi tarjeta de crédito sin avisarme?,2,correcto,No se pueden cobrar comisiones sin aviso previo | Se requiere notificación adecuada/previa | Plazo de 30 días de anticipación para notificar cambios | Contactar al banco si ya se está cobrando sin aviso | Presentar queja ante INDECOPI como medida adicional | Referencia a la Ley N° 29571 - Código de Protección y Defensa del Consumidor,,,"La respuesta del chatbot llega a la misma conclusión práctica que la referencia y añade detalles correctos y relevantes sobre el plazo de aviso, las acciones a tomar y la ley aplicable, sin errores ni alucinaciones.",2.57,3
9,libro_reclamaciones,qwen2.5:14b,¿Una empresa o negocio digital tiene que tener un libro de reclamaciones?,2,correcto,obligación de libro de reclamaciones para negocios digitales | libro de reclamaciones virtual para negocios online | plazo de respuesta de 15 días hábiles | posibilidad de denuncia ante INDECOPI,,,"El chatbot responde correctamente a la pregunta, alineándose con la referencia en la obligatoriedad del libro de reclamaciones virtual para negocios digitales y añade información adicional precisa y útil para el ciudadano.",4.62,3
10,precios,qwen2.5:14b,¿Pueden subir o cobrarme más del precio que muestran en la tienda o página web?,2,correcto,"prohibición de aumentar el precio una vez mostrado | el precio mostrado es el final a pagar | excepción para servicios adicionales aceptados expresamente (transporte, instalación) | obligación del vendedor de informar sobre cargos adicionales antes | derecho a denunciar ante INDECOPI | pasos para denunciar (documentar, web de INDECOPI) | la ley está a favor del consumidor",,,"La respuesta del chatbot llega a la misma conclusión práctica que la referencia ('No') y cubre todos los conceptos clave sobre la prohibición de subir precios, añadiendo información correcta y útil sobre excepciones válidas y el procedimiento para denunciar a INDECOPI.",5.02,3
11,precios,qwen2.5:14b,¿Me pueden obligar a pagar propina o un adicional al precio de la carta en un restaurante?,2,correcto,La propina no es obligatoria sin consentimiento expreso | Cualquier recargo adicional debe ser informado claramente antes del consumo | Es necesario el consentimiento del consumidor para cobros extras | Posibilidad de negarse a pagar cargos no informados | Posibilidad de denunciar ante INDECOPI,,,"La respuesta del chatbot llega a la misma conclusión práctica que la referencia, explicando claramente que la propina es voluntaria y que cualquier recargo debe ser informado y aceptado previamente por el cliente, además de ofrecer pasos útiles al ciudadano.",4.59,3
12,educacion,qwen2.5:14b,¿El colegio puede obligarme a comprar libros de texto nuevos para mis hijos?,2,correcto,no se puede obligar a comprar libros de texto nuevos | se pueden usar libros usados/reutilizados | posibilidad de denunciar ante INDECOPI,,,"La respuesta del chatbot es correcta, llega a la misma conclusión que la referencia y cubre los conceptos clave, mencionando la ley relevante y el mecanismo de denuncia sin errores.",2.79,3
